"COLONYLENGTH","MAX_DEPTH_M","Area_surveyed_m2","SITE","PER_DEAD","LATITUDE","LONGITUDE","YEAR","TAIL_BINS","Bleaching_Period","Survey_Type"
22.5,13.1064,60,"TUT-171",35,-14.332425,-170.824373,"2025","QMED","Post-Bleaching","60m"
30,13.1064,60,"TUT-171",10,-14.332425,-170.824373,"2025","QMED","Post-Bleaching","60m"
30,13.1064,60,"TUT-171",80,-14.332425,-170.824373,"2025","QMED","Post-Bleaching","60m"
45,13.1064,60,"TUT-171",70,-14.332425,-170.824373,"2025","Q80","Post-Bleaching","60m"
75,13.1064,60,"TUT-171",15,-14.332425,-170.824373,"2025","Q80","Post-Bleaching","60m"
25,13.1064,60,"TUT-171",85,-14.332425,-170.824373,"2025","QMED","Post-Bleaching","60m"
75,13.1064,60,"TUT-171",98,-14.332425,-170.824373,"2025","Q80","Post-Bleaching","60m"
125,13.1064,60,"TUT-171",85,-14.332425,-170.824373,"2025","Q80","Post-Bleaching","60m"
105,13.1064,60,"TUT-171",90,-14.332425,-170.824373,"2025","Q80","Post-Bleaching","60m"
105,13.1064,60,"TUT-171",95,-14.332425,-170.824373,"2025","Q80","Post-Bleaching","60m"
NA,9.4488,60,"TUT-066",NA,-14.2873,-170.739,"2025",NA,"Post-Bleaching","60m"
NA,9.4488,60,"TUT-066",NA,-14.2873,-170.739,"2025",NA,"Post-Bleaching","60m"
NA,10.9728,60,"TUT-061",NA,-14.318564,-170.842093,"2025",NA,"Post-Bleaching","60m"
NA,10.9728,60,"TUT-061",NA,-14.318564,-170.842093,"2025",NA,"Post-Bleaching","60m"
NA,10.9728,60,"TUT-061",NA,-14.318564,-170.842093,"2025",NA,"Post-Bleaching","60m"
20,11.5824,60,"TUT-139",5,-14.352648,-170.787165,"2025","QMED","Post-Bleaching","60m"
30,11.5824,60,"TUT-139",20,-14.352648,-170.787165,"2025","QMED","Post-Bleaching","60m"
50,11.5824,60,"TUT-139",6,-14.352648,-170.787165,"2025","Q80","Post-Bleaching","60m"
52.5,11.5824,60,"TUT-139",25,-14.352648,-170.787165,"2025","Q80","Post-Bleaching","60m"
25,11.5824,60,"TUT-139",60,-14.352648,-170.787165,"2025","QMED","Post-Bleaching","60m"
20,11.5824,60,"TUT-139",5,-14.352648,-170.787165,"2025","QMED","Post-Bleaching","60m"
22.5,11.5824,60,"TUT-139",10,-14.352648,-170.787165,"2025","QMED","Post-Bleaching","60m"
22,11.5824,60,"TUT-139",0,-14.352648,-170.787165,"2025","QMED","Post-Bleaching","60m"
25,11.5824,60,"TUT-139",98,-14.352648,-170.787165,"2025","QMED","Post-Bleaching","60m"
20,11.5824,60,"TUT-139",0,-14.352648,-170.787165,"2025","QMED","Post-Bleaching","60m"
22.5,11.5824,60,"TUT-139",0,-14.352648,-170.787165,"2025","QMED","Post-Bleaching","60m"
40,11.5824,60,"TUT-139",80,-14.352648,-170.787165,"2025","QMED","Post-Bleaching","60m"
115,11.5824,60,"TUT-139",85,-14.352648,-170.787165,"2025","Q80","Post-Bleaching","60m"
7.5,11.5824,60,"TUT-139",0,-14.352648,-170.787165,"2025","Q20","Post-Bleaching","60m"
115,11.5824,60,"TUT-139",95,-14.352648,-170.787165,"2025","Q80","Post-Bleaching","60m"
NA,11.2776,60,"TUT-058",NA,-14.276028,-170.724169,"2025",NA,"Post-Bleaching","60m"
NA,9.7536,60,"TUT-060",NA,-14.264012,-170.713218,"2025",NA,"Post-Bleaching","60m"
35,14.3256,60,"TUT-086",0,-14.27703,-170.611737,"2025","QMED","Post-Bleaching","60m"
15,11.5824,60,"TUT-157",0,-14.274192,-170.619785,"2025","QMED","Post-Bleaching","60m"
20,11.5824,60,"TUT-157",0,-14.274192,-170.619785,"2025","QMED","Post-Bleaching","60m"
17,11.5824,60,"TUT-157",0,-14.274192,-170.619785,"2025","QMED","Post-Bleaching","60m"
22.5,11.5824,60,"TUT-157",90,-14.274192,-170.619785,"2025","QMED","Post-Bleaching","60m"
12,11.5824,60,"TUT-157",25,-14.274192,-170.619785,"2025","Q20","Post-Bleaching","60m"
32,11.5824,60,"TUT-157",20,-14.274192,-170.619785,"2025","QMED","Post-Bleaching","60m"
60,11.5824,60,"TUT-157",70,-14.274192,-170.619785,"2025","Q80","Post-Bleaching","60m"
50,11.5824,60,"TUT-157",65,-14.274192,-170.619785,"2025","Q80","Post-Bleaching","60m"
40,11.5824,60,"TUT-157",40,-14.274192,-170.619785,"2025","QMED","Post-Bleaching","60m"
45,11.5824,60,"TUT-157",20,-14.274192,-170.619785,"2025","Q80","Post-Bleaching","60m"
40,11.5824,60,"TUT-157",35,-14.274192,-170.619785,"2025","QMED","Post-Bleaching","60m"
22.5,11.5824,60,"TUT-157",15,-14.274192,-170.619785,"2025","QMED","Post-Bleaching","60m"
15,11.5824,60,"TUT-157",5,-14.274192,-170.619785,"2025","QMED","Post-Bleaching","60m"
7,11.5824,60,"TUT-157",0,-14.274192,-170.619785,"2025","Q20","Post-Bleaching","60m"
16,14.0208,60,"TUT-219",0,-14.28823,-170.639848,"2025","QMED","Post-Bleaching","60m"
19,14.0208,60,"TUT-219",0,-14.28823,-170.639848,"2025","QMED","Post-Bleaching","60m"
13.5,14.0208,60,"TUT-219",0,-14.28823,-170.639848,"2025","QMED","Post-Bleaching","60m"
15,14.0208,60,"TUT-219",0,-14.28823,-170.639848,"2025","QMED","Post-Bleaching","60m"
25,14.0208,60,"TUT-219",0,-14.28823,-170.639848,"2025","QMED","Post-Bleaching","60m"
NA,10.668,60,"TUT-221",NA,-14.362476,-170.746348,"2025",NA,"Post-Bleaching","60m"
NA,10.668,60,"TUT-221",NA,-14.362476,-170.746348,"2025",NA,"Post-Bleaching","60m"
40,10.9728,60,"TUT-223",90,-14.35909,-170.785248,"2025","QMED","Post-Bleaching","60m"
15,10.9728,60,"TUT-223",0,-14.35909,-170.785248,"2025","QMED","Post-Bleaching","60m"
45,10.9728,60,"TUT-223",50,-14.35909,-170.785248,"2025","Q80","Post-Bleaching","60m"
16,10.9728,60,"TUT-223",5,-14.35909,-170.785248,"2025","QMED","Post-Bleaching","60m"
17.5,10.9728,60,"TUT-223",0,-14.35909,-170.785248,"2025","QMED","Post-Bleaching","60m"
8,10.9728,60,"TUT-223",0,-14.35909,-170.785248,"2025","Q20","Post-Bleaching","60m"
10,10.9728,60,"TUT-223",0,-14.35909,-170.785248,"2025","Q20","Post-Bleaching","60m"
26,10.9728,60,"TUT-223",0,-14.35909,-170.785248,"2025","QMED","Post-Bleaching","60m"
6,10.9728,60,"TUT-223",0,-14.35909,-170.785248,"2025","Q20","Post-Bleaching","60m"
15,10.9728,60,"TUT-223",5,-14.35909,-170.785248,"2025","QMED","Post-Bleaching","60m"
30,10.9728,60,"TUT-223",45,-14.35909,-170.785248,"2025","QMED","Post-Bleaching","60m"
20,10.9728,60,"TUT-223",5,-14.35909,-170.785248,"2025","QMED","Post-Bleaching","60m"
17.5,10.9728,60,"TUT-223",0,-14.35909,-170.785248,"2025","QMED","Post-Bleaching","60m"
15,10.9728,60,"TUT-223",0,-14.35909,-170.785248,"2025","QMED","Post-Bleaching","60m"
12,10.9728,60,"TUT-223",3,-14.35909,-170.785248,"2025","Q20","Post-Bleaching","60m"
75,10.9728,60,"TUT-223",65,-14.35909,-170.785248,"2025","Q80","Post-Bleaching","60m"
67.5,10.9728,60,"TUT-223",90,-14.35909,-170.785248,"2025","Q80","Post-Bleaching","60m"
32.5,10.9728,60,"TUT-223",20,-14.35909,-170.785248,"2025","QMED","Post-Bleaching","60m"
15,10.9728,60,"TUT-223",0,-14.35909,-170.785248,"2025","QMED","Post-Bleaching","60m"
7,10.9728,60,"TUT-223",0,-14.35909,-170.785248,"2025","Q20","Post-Bleaching","60m"
30,10.9728,60,"TUT-223",5,-14.35909,-170.785248,"2025","QMED","Post-Bleaching","60m"
35,10.9728,60,"TUT-223",20,-14.35909,-170.785248,"2025","QMED","Post-Bleaching","60m"
42.5,10.9728,60,"TUT-223",20,-14.35909,-170.785248,"2025","Q80","Post-Bleaching","60m"
45,10.9728,60,"TUT-223",20,-14.35909,-170.785248,"2025","Q80","Post-Bleaching","60m"
20,10.9728,60,"TUT-223",0,-14.35909,-170.785248,"2025","QMED","Post-Bleaching","60m"
16,10.9728,60,"TUT-223",5,-14.35909,-170.785248,"2025","QMED","Post-Bleaching","60m"
57.5,10.9728,60,"TUT-223",20,-14.35909,-170.785248,"2025","Q80","Post-Bleaching","60m"
45,10.9728,60,"TUT-223",75,-14.35909,-170.785248,"2025","Q80","Post-Bleaching","60m"
